name,in_chittyregister_neon,chitty_id,id_format,status,has_cert
bane,no,,,,
chittyadvocate,no,,,,
chittyagent-canon,no,,,,
chittyagent-tasks,no,,,,
chittyagent-ui,no,,,,
chittyapi,yes,did:chitty:REG-XE66D7,did-legacy,active,yes
chittyauth,yes,did:chitty:REG-XE65QU,did-legacy,active,yes
chittybeacon,yes,did:chitty:REG-XE66Q4,did-legacy,active,yes
chittybrand-cdn,no,,,,
chittycan,yes,did:chitty:REG-XE6AXL,did-legacy,active,yes
chittycert,no,,,,
chittycharge,yes,did:chitty:REG-XE68P7,did-legacy,active,yes
chittychronicle,yes,did:chitty:REG-XEAQUY,did-legacy,active,yes
chittycommand,yes,03-1-USA-3846-T-2602-0-57,canonical,pending_cert,no
chittyconcierge,no,,,,
chittycontextual,yes,did:chitty:REG-XE68DK,did-legacy,active,yes
chittycounsel,no,,,,
chittydispute,no,,,,
chittydlvr,yes,03-1-USA-9750-T-2602-0-75,canonical,pending_cert,no
chittydna,no,,,,
chittydocs,no,,,,
chittyevidence-db,no,,,,
chittyfinance,yes,did:chitty:REG-XE6835,did-legacy,active,yes
chittygateway,yes,did:chitty:REG-XEASLS,did-legacy,active,yes
chittygov,no,,,,
chittyid,no,,,,
chittyintel,no,,,,
chittyledger,yes,03-1-USA-9002-T-2602-0-81,canonical,active,yes
chittymint,yes,03-1-USA-0970-P-2603-0-54,canonical,pending_cert,no
